-0.1289,-0.9541
-1.1234,-0.0567
-0.2586,0.11
-0.1584,0.7154
0.6341,-0.9615
1.7097,1.1636
0.2268,0.8748
-0.375,2.4234
-0.7226,0.4736
-1.1051,0.7634
-0.324,-0.3443
0.0638,0.1028
1.2601,-0.4556
-0.1986,-0.1081
-0.051,0.2956
-0.8102,0.1194
-0.0168,-0.9854
0.8933,0.6724
0.3318,-1.2746
0.5093,-1.491
0.5171,0.5295
1.2679,-1.1381
-0.2434,0.8641
-0.5185,1.111
0.3148,1.2286
1.4919,0.4676
-0.8203,-1.1737
-0.1663,-0.1031
0.7232,-0.2629
3.3117,1.217
0.0498,-1.2178
-0.171,1.0462
0.0556,-0.0549
1.7753,-1.747
-0.3667,0.1155
-0.6381,1.115
0.8281,-0.594
1.7716,-0.0332
-0.013,0.2331
0.8925,-0.1179
-0.2959,-1.0241
0.3011,-0.5185
-0.2266,-0.0894
0.2514,-1.5477
0.4674,1.6303
0.452,-1.1939
-1.3176,-1.7814
-1.8285,-1.3654
-1.7325,0.7697
-0.266,-1.1032
0.7319,-1.091
-1.0568,-0.1476
-1.0439,1.0538
-0.4709,0.0729
2.3304,0.037
-1.3554,0.7351
-0.115,0.8061
-0.8262,0.2143
-0.8172,-1.4132
-0.8927,-1.0731
0.1528,-1.4287
-1.0856,-0.0232
1.2397,0.1276
2.3217,0.3278
1.2343,-0.586
-1.0391,-1.8697
0.2149,0.2327
1.2895,-0.0505
-1.9219,-0.9433
2.4046,-0.4093
0.7154,0.6727
-0.6843,-0.7496
-0.365,1.057
-1.0604,0.0916
0.3838,0.8575
-1.6333,-1.0283
0.7204,0.2655
0.7257,0.5749
1.0576,0.0694
1.3615,-1.1525
-0.7164,1.5718
0.2238,0.5046
0.9021,-0.7699
-2.5706,-0.2521
0.2073,0.2187
0.3021,-0.8743
0.8582,0.1143
0.0968,-0.1386
1.6697,0.9123
-0.4872,-0.4835
1.4075,0.6925
-0.2028,-0.6729
-0.6218,-0.2469
-0.1376,0.0109
-0.5375,-0.9579
0.4552,-0.6174
0.5947,1.0481
0.9229,-0.0514
-0.1454,1.604
-0.0223,0.5689
2.4945,0.7776
-1.8304,2.4113
-1.4147,-0.0782
0.3005,0.2543
-0.8738,0.4128
-1.4097,0.2859
-0.8821,1.4102
0.8022,1.4594
1.6976,-0.0058
1.764,-1.0151
-0.3801,0.1519
0.9353,0.8154
-0.7981,-0.8305
0.85,0.196
-1.2225,-0.065
-0.8273,-0.1794
